Object ID,State GNIS Code,Geographic Identifier - FIPS Code,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Total Children Under 18 Years Living with at least One Parent,Total Children Under 18 Years Living with at least One Parent - Margin of Error,All Children Under 6 Years Living with at least One Parent,All Children Under 6 Years Living with at least One Parent - Margin of Error,Children Under 6 Years Living with Two Parents,Children Under 6 Years Living with Two Parents - Margin of Error,"Children Under 6 Years Living with Two Parents, Both Parents in Labor Force","Children Under 6 Years Living with Two Parents, Both Parents in Labor Force - Margin of Error","Children Under 6 Years Living with Two Parents, Father Only in Labor Force","Children Under 6 Years Living with Two Parents, Father Only in Labor Force - Margin of Error","Children Under 6 Years Living with Two Parents, Mother Only in Labor Force","Children Under 6 Years Living with Two Parents, Mother Only in Labor Force - Margin of Error","Children Under 6 Years Living with Two Parents, Neither Parent in Labor Force","Children Under 6 Years Living with Two Parents, Neither Parent in Labor Force - Margin of Error",Children Under 6 Years Living with One Parent,Children Under 6 Years Living with One Parent - Margin of Error,Children Under 6 Years Living with Father Only,Children Under 6 Years Living with Father Only - Margin of Error,"Children Under 6 Years Living with Father Only, Father in Labor Force","Children Under 6 Years Living with Father Only, Father in Labor Force - Margin of Error","Children Under 6 Years Living with Father Only, Father Not in Labor Force","Children Under 6 Years Living with Father Only, Father Not in Labor Force - Margin of Error",Children Under 6 Years Living with Mother Only,Children Under 6 Years Living with Mother Only - Margin of Error,"Children Under 6 Years Living with Mother Only, Mother in Labor Force","Children Under 6 Years Living with Mother Only, Mother in Labor Force - Margin of Error","Children Under 6 Years Living with Mother Only, Mother Not in Labor Force","Children Under 6 Years Living with Mother Only, Mother Not in Labor Force - Margin of Error",All Children 6 to 17 Years Living with at least One Parent,All Children 6 to 17 Years Living with at least One Parent - Margin of Error,Children 6 to 17 Years Living with Two Parents,Children 6 to 17 Years Living with Two Parents - Margin of Error,"Children 6 to 17 Years Living with Two Parents, Both Parents in Labor Force","Children 6 to 17 Years Living with Two Parents, Both Parents in Labor Force - Margin of Error","Children 6 to 17 Years Living with Two Parents, Father Only in Labor Force","Children 6 to 17 Years Living with Two Parents, Father Only in Labor Force - Margin of Error","Children 6 to 17 Years Living with Two Parents, Mother Only in Labor Force","Children 6 to 17 Years Living with Two Parents, Mother Only in Labor Force - Margin of Error","Children 6 to 17 Years Living with Two Parents, Neither Parent in Labor Force","Children 6 to 17 Years Living with Two Parents, Neither Parent in Labor Force - Margin of Error",Children 6 to 17 Years Living with One Parent,Children 6 to 17 Years Living with One Parent - Margin of Error,Children 6 to 17 Years Living with Father Only,Children 6 to 17 Years Living with Father Only- Margin of Error,"Children 6 to 17 Years Living with Father Only, Father in Labor Force","Children 6 to 17 Years Living with Father Only, Father in Labor Force - Margin of Error","Children 6 to 17 Years Living with Father Only, Father Not in Labor Force","Children 6 to 17 Years Living with Father Only, Father Not in Labor Force - Margin of Error",Children 6 to 17 Years Living with Mother Only,Children 6 to 17 Years Living with Mother Only - Margin of Error,"Children 6 to 17 Years Living with Mother Only, Mother in Labor Force","Children 6 to 17 Years Living with Mother Only, Mother in Labor Force - Margin of Error","Children 6 to 17 Years Living with Mother Only, Mother Not in Labor Force","Children 6 to 17 Years Living with Mother Only, Mother Not in Labor Force - Margin of Error",Children with All Available Parents in Labor Force,Children with All Available Parents in Labor Force - Margin of Error,Percent of Children with All Available Parents in Labor Force,Percent of Children with All Available Parents in Labor Force - Margin of Error,Children with No Available Parent in Labor Force,Children with No Available Parent in Labor Force - Margin of Error,Percent of Children with No Available Parent in Labor Force,Percent of Children with No Available Parent in Labor Force - Margin of Error,x,y
1,01779775,01,AL,Alabama,131174048583,4593327154,1023419,2661,329913,2300,196301,3000,114479,3148,71452,2222,6607,752,3763,540,133612,2643,24152,1764,20449,1587,3703,617,109460,2698,79222,2171,30238,1823,693506,2866,432848,3739,276010,4212,124247,3372,20550,1268,12041,1024,260658,3826,45189,1867,37989,1869,7200,840,215469,3713,164809,3473,50660,2532,692958,7102,67.7,0.671244778523984,107605,3487,10.5,0.339622130165761,-86.8274553990687,32.8145858024608
2,01785533,02,AK,Alaska,1478839695958,245481577452,175517,863,62365,739,42928,1168,23382,1097,16851,800,1981,349,714,212,19437,878,5895,601,4927,545,968,244,13542,788,9916,729,3626,454,113152,942,78260,1338,49248,1620,22548,1118,4321,627,2143,425,34892,1474,10983,1113,9241,933,1742,481,23909,1166,19549,1103,4360,643,116263,2597,66.2,1.44333732081515,13553,1066,7.7,0.606160695784074,-152.764723385957,65.2098453987811
3,01779777,04,AZ,Arizona,294198551143,1027337603,1539630,2713,497853,2319,306623,3991,159129,3466,131546,3520,10569,954,5379,746,191230,3823,49907,2257,43907,2112,6000,710,141323,3116,101147,2603,40176,2105,1041777,3178,662154,5790,386844,5382,231175,4175,28071,1444,16064,1528,379623,5449,96696,3363,83763,3152,12933,1011,282927,4874,224873,4479,58054,2945,999663,9067,64.9,0.577686988165199,138606,4186,9,0.271420318473972,-111.666425768911,34.3358729622346
4,00068085,05,AR,Arkansas,134768872727,2962859592,658576,2139,216357,1850,130353,2524,74508,2136,48331,2207,4870,453,2644,510,86004,2311,18400,1258,15877,1162,2523,478,67604,2261,49509,1765,18095,1414,442219,1678,280629,3701,180396,3956,77208,2959,15957,1209,7068,775,161590,3538,33786,1928,28292,1782,5494,704,127804,3207,97745,3024,30059,1980,446327,6083,67.8,0.897048359340634,65883,2739,10,0.414626191810441,-92.4374160236616,34.9172622202176
5,01779778,06,CA,California,403503931312,20463871877,8661073,6157,2857888,6223,1894609,9207,1055040,9325,748726,6643,59410,2116,31433,1793,963279,8839,257298,5185,232574,5053,24724,1372,705981,7554,485383,5747,220598,4597,5803185,6606,3893818,14312,2312757,15005,1343273,9876,159136,4067,78652,3088,1909367,13251,474917,6704,424035,6400,50882,2078,1434450,11130,1111037,9781,323413,7650,5620826,22523,64.9,0.255923596052697,729702,9930,8.4,0.114494379156711,-119.270413662387,36.4025453954579
6,01779779,08,CO,Colorado,268422891711,1181621593,1206626,2208,391839,1947,292602,3290,171287,3205,109055,3548,9063,780,3197,511,99237,2845,26622,1515,24544,1444,2078,430,72615,2611,53939,2501,18676,1352,814787,2558,577296,4595,376674,4544,172310,3888,20313,1610,7999,794,237491,4536,66073,2339,60778,2233,5295,629,171418,3968,144689,3614,26729,1537,831911,7570,68.9,0.614552786578271,63974,2380,5.3,0.197005466682525,-105.547883098204,39.0268717810054
7,01779780,09,CT,Connecticut,12542497068,1815617571,725157,1591,215787,1262,146551,2065,97182,1839,43775,1497,3983,529,1611,374,69236,2095,15222,1032,13966,994,1256,387,54014,1849,42921,1742,11093,929,509370,1692,341301,3011,242578,3273,82571,2203,11769,1047,4383,628,168069,3027,33417,1578,31154,1598,2263,387,134652,2917,115322,2832,19330,1158,543123,5356,74.9,0.720086951722992,39936,1743,5.5,0.240057849419597,-72.7249540238571,41.6222299198289
8,01779781,10,DE,Delaware,5045925646,1399985648,191306,1003,62203,867,37878,1333,24634,1275,11867,898,1110,307,267,143,24325,1099,5252,575,4939,574,313,151,19073,1090,14976,1096,4097,587,129103,1170,78988,1724,57205,1912,17571,1144,2814,530,1398,358,50115,1790,10884,976,9913,905,971,373,39231,1740,32872,1730,6359,888,144539,3259,75.6,1.65685904783959,13405,1202,7,0.627237808781698,-75.5007168547689,38.9947623323715
9,01702382,11,DC,District of Columbia,158340391,18687198,114264,865,49463,704,26671,834,20582,831,5425,621,576,260,88,79,22792,1016,3252,558,2788,511,464,267,19540,1028,13997,1061,5543,778,64801,826,27538,1110,20610,1058,5723,773,667,212,538,289,37263,1277,5229,806,4639,786,590,184,32034,1409,25083,1442,6951,831,87699,2428,76.8,2.04392523182188,14174,1221,12.4,1.06444390049869,-77.0163132512105,38.904818087122
10,00294478,12,FL,Florida,138949136250,31361101223,3928827,4675,1282636,4181,764457,6310,446169,6367,277348,4710,26339,1592,14601,1362,518179,6392,120385,3644,109129,3458,11256,1049,397794,5894,299551,5113,98243,3499,2646191,5478,1618250,11814,1042538,10596,454554,6455,81756,2931,39402,2438,1027941,10853,215317,5512,189676,5308,25641,1657,812624,9600,669077,8691,143547,3963,2756140,17165,70.2,0.428850217507933,332690,6292,8.5,0.159832284710818,-81.9322487419347,28.6538478054924
11,01705317,13,GA,Georgia,149482048342,4422936154,2362999,3525,754832,3407,460017,4397,263675,4087,176345,3660,13985,1348,6012,719,294815,4291,56622,2566,50164,2475,6458,876,238193,3902,183291,3461,54902,2363,1608167,4341,995580,7969,641519,7674,293520,4630,42142,2357,18399,1544,612587,8138,112006,3594,96603,3247,15403,1479,500581,8161,412634,7408,87947,3718,1647886,12614,69.7,0.523578298844968,189121,5026,8,0.212360466669521,-83.4512728588705,32.6731573337381
12,01779782,15,HI,Hawaii,16633990195,11777809026,286691,1448,101726,1091,69000,1535,39905,1517,25401,1174,2517,488,1177,348,32726,1500,8867,843,8075,858,792,199,23859,1383,16192,1102,7667,926,184965,1364,129154,2159,90229,2179,30014,1363,6111,721,2800,613,55811,1789,14876,1127,12965,1112,1911,338,40935,1734,33678,1556,7257,824,201044,3558,70.1,1.18944346738056,21604,1479,7.5,0.514480532933661,-155.521205886131,19.6020249913044
13,01779783,16,ID,Idaho,214049787659,2391722557,420940,1463,133543,1352,101229,2003,49332,1956,47452,1816,2649,401,1796,397,32314,1658,9524,995,8676,930,848,299,22790,1444,16658,1193,6132,958,287397,1767,214618,3201,129736,3305,74622,2745,6484,863,3776,719,72779,3068,20352,1525,18410,1413,1942,378,52427,2689,42846,2333,9581,1046,265658,4947,63.1,1.15457618871068,24075,1708,5.7,0.405271344537984,-114.683878125244,44.467482733905
14,01779784,17,IL,Illinois,143780567633,6214824948,2805366,3612,902341,3121,593499,4586,366959,4707,204453,3526,15670,1131,6417,806,308842,4810,69791,2318,63108,2134,6683,673,239051,4603,187357,3827,51694,2290,1903025,3872,1273285,7450,852284,7728,357060,5477,46330,2146,17611,1358,629740,7087,129789,3671,117502,3434,12287,977,499951,6478,418187,5841,81764,2981,2005397,12124,71.5,0.422257475370723,176456,4246,6.3,0.15113597950483,-89.1992243931464,40.1053645021465
15,00448508,18,IN,Indiana,92789302676,1538002829,1484624,2679,480397,2378,306939,3879,184637,3380,110465,2843,7972,831,3865,555,173458,3150,43626,1772,39299,1747,4327,489,129832,2759,99378,2433,30454,1803,1004227,3191,664013,6237,447597,6489,178527,3983,26167,1658,11722,1025,340214,5676,80334,3015,71729,2918,8605,815,259880,4816,213556,4515,46324,2227,1056196,9560,71.1,0.631007668545353,105297,3236,7.1,0.217591580832045,-86.2727907508566,39.9332337014215
16,01779785,19,IA,Iowa,144661267977,1084180812,698110,1418,231043,1405,162893,1672,115963,2185,41484,1766,3690,437,1756,438,68150,1601,19558,996,18072,995,1486,428,48592,1450,39369,1407,9223,899,467067,1585,328483,3571,252704,3469,62578,2311,9265,762,3936,580,138584,3345,38472,1707,34860,1545,3612,643,100112,3120,87457,2974,12655,943,548425,5569,78.6,0.781603282957854,32668,1680,4.7,0.240461971377968,-93.5022097471626,42.0905515649658
